Key,Id,French(fr)
"Dialogs_Generic_LeavingBlocked_0_Player",62909333530,"Je ne devrais probablement pas partir avant de finir toutes mes tâches"
"Dialogs_Generic_NotEnoughMoney_0_Player",62909333531,"Je n'ai pas assez d'argent pour cela"
"Dialogs_Generic_Shower_0_Player",62909333532,"""Quelqu'un prend une douche..."""
"Dialogs_Generic_ToiletBesetzt_0_LastSpoken",62909333533,"Occupé!"
"Dialogs_Generic_WomanChanging_0_Player",62909333534,"""Ce sont les vestiaires des femmes... Je ne devrais probablement pas y aller... du moins pas encore"""
"Dialogs_GroceryStory_1_ComeToStore_0_Player",62909333535,"""D'accord"
"Dialogs_GroceryStory_1_ComeToStore_1_Player",62909333536,"""La femme au téléphone a dit qu’elle préviendrait quelqu’un que je venais"""
"Dialogs_GroceryStory_1_ComeToStore_2_Mia",62909333537,"@{player}!?"
"Dialogs_GroceryStory_1_ComeToStore_3_Mia",62909333538,"<shake>Eh toi"
"Dialogs_GroceryStory_1_ComeToStore_4_Player",62909333539,"Bonjour..."
"Dialogs_GroceryStory_1_ComeToStore_5_Player",62909333540,"""Ça doit être la personne dont parlait la femme au téléphone"""
"Dialogs_GroceryStory_1_ComeToStore_6_Player",62909333541,"""Allons lui parler"""
"Dialogs_GroceryStory_2_MiaTalk_0_Mia",62909333542,"Enfin"
"Dialogs_GroceryStory_2_MiaTalk_1_Mia",62909333543,"Tu es venu me voir?"
"Dialogs_GroceryStory_2_2CameToWork_0_Player",62909333544,"Je suis venu... pour travailler..."
"Dialogs_GroceryStory_3_NoWay_0_Mia",62909333545,"Pas possible!"
"Dialogs_GroceryStory_3_NoWay_1_Mia",62909333546,"Donc c’était toi!"
"Dialogs_GroceryStory_3_NoWay_2_Player",62909333547,"J’imagine..."
"Dialogs_GroceryStory_3_NoWay_3_Mia",62909333548,"On va travailler ensemble..."
"Dialogs_GroceryStory_3_NoWay_4_Mia",62909333549,"C’est troooop cool"
"Dialogs_GroceryStory_3_NoWay_5_Player",62909333550,"La femme au téléphone a dit que quelqu’un m’attendrait"
"Dialogs_GroceryStory_3_NoWay_6_Player",62909333551,"Je suppose qu’elle parlait de toi"
"Dialogs_GroceryStory_3_NoWay_7_Mia",62909333552,"Ouais"
"Dialogs_GroceryStory_3_NoWay_8_Mia",62909333553,"Lea m’a appelé ce matin"
"Dialogs_GroceryStory_3_NoWay_9_Mia",62909333554,"Elle a dit qu’un nouveau travailleur arriverait aujourd’hui"
"Dialogs_GroceryStory_3_NoWay_10_Mia",62909333555,"Et que je devais lui montrer—<?emotion=14>eh bien"
"Dialogs_GroceryStory_3_NoWay_11_Player",62909333556,"Lea... donc c’est son nom"
"Dialogs_GroceryStory_3_NoWay_12_Mia",62909333557,"Oui... elle ne s’est pas présentée?"
"Dialogs_GroceryStory_3_NoWay_13_Player",62909333558,"Non"
"Dialogs_GroceryStory_3_NoWay_14_Mia",62909333559,"Ça lui ressemble bien"
"Dialogs_GroceryStory_3_NoWay_15_Mia",62909333560,"Quand j’ai postulé pour le poste"
"Dialogs_GroceryStory_3_NoWay_16_Mia",62909333561,"Mais peu importe..."
"Dialogs_GroceryStory_3_NoWay_17_Mia",62909333562,"Oublie Lea..."
"Dialogs_GroceryStory_3_NoWay_18_Mia",62909333563,"Techniquement"
"Dialogs_GroceryStory_3_NoWay_19_Mia",62909333564,"Alors viens par ici"
"Dialogs_GroceryStory_4_ExplainHowToWork_0_Mia",62909333565,"Voici ton espace de travail"
"Dialogs_GroceryStory_4_ExplainHowToWork_1_Mia",62909333566,"Et ça..."
"Dialogs_GroceryStory_4_ExplainHowToWork_2_Mia",62909333567,"Et ça, c’est ton outil de travail"
"Dialogs_GroceryStory_4_ExplainHowToWork_3_Mia",62909333568,"C’est tout"
"Dialogs_GroceryStory_4_ExplainHowToWork_4_Player",62909333569,"Ça fait beaucoup d’informations à assimiler..."
"Dialogs_GroceryStory_4_ExplainHowToWork_5_Mia",62909333570,".  .  ."
"Dialogs_GroceryStory_4_ExplainHowToWork_6_Mia",62909333571,"C’est à peu près tout"
"Dialogs_GroceryStory_4_ExplainHowToWork_7_Mia",62909333572,"Ah, et là-bas…"
"Dialogs_GroceryStory_4_ExplainHowToWork_8_Mia",62909333573,"Voilà la réserve"
"Dialogs_GroceryStory_4_ExplainHowToWork_9_Mia",62909333574,"Tu peux te détendre là pendant ta pause"
"Dialogs_GroceryStory_4_ExplainHowToWork_10_Mia",62909333575,"Mange quelque chose ou fais ce que tu veux pendant ton temps libre…"
"Dialogs_GroceryStory_5_StartWork_0_Player",62909333576,"Compris!"
"Dialogs_GroceryStory_5_StartWork_1_Mia",62909333577,"Super!"
"Dialogs_GroceryStory_5_StartWork_2_Mia",62909333578,"Bon, au travail alors!"
"Dialogs_GroceryStory_6_JobFinished_0_Mia",62909333579,"Félicitations pour ton premier service"
"Dialogs_GroceryStory_6_JobFinished_1_Mia",62913527808,"Tu t’en es super bien sorti!"
"Dialogs_GroceryStory_7_ThankYou_0_Player",62913527809,"Merci"
"Dialogs_GroceryStory_7_ThankYou_1_Mia",62913527810,"Avec plaisir"
"Dialogs_GroceryStory_7_ThankYou_2_Player",62913527811,"Mais le service est déjà fini?"
"Dialogs_GroceryStory_7_ThankYou_3_Player",62913527812,"Un service, c’est pas genre 8 heures?"
"Dialogs_GroceryStory_7_ThankYou_4_Mia",62913527813,"Qui t’a dit ça?"
"Dialogs_GroceryStory_7_ThankYou_5_Mia",62913527814,"Enfin… peu importe qui te l’a dit"
"Dialogs_GroceryStory_7_ThankYou_6_Mia",62913527815,"Cette personne a tort"
"Dialogs_GroceryStory_7_ThankYou_7_Mia",62913527816,"Dans notre supérette "
"Dialogs_GroceryStory_7_ThankYou_8_Mia",62913527817,"En gros"
"Dialogs_GroceryStory_7_ThankYou_9_Mia",62913527818,"Il y a la pause déjeuner"
"Dialogs_GroceryStory_7_ThankYou_10_Mia",62913527819,"Et après, ça reprend comme avant"
"Dialogs_GroceryStory_7_ThankYou_11_Mia",62913527820,"Compris?"
"Dialogs_GroceryStory_7_1Yes_0_Player",62913527821,"Oui..."
"Dialogs_GroceryStory_7_1Yes_1_Mia",62913527822,"Youpiii"
"Dialogs_GroceryStory_7_1Yes_2_Mia",62913527823,"Ah… et rappelle-toi"
"Dialogs_GroceryStory_7_1Yes_3_Mia",62913527824,"Tu ne travailles ni en soirée ni la nuit"
"Dialogs_GroceryStory_7_1Yes_4_Mia",62913527825,"Sauf si Lea a dit que tu devais"
"Dialogs_GroceryStory_7_1Yes_5_Mia",62913527826,"Mais je suppose qu'elle ne l'a pas dit"
"Dialogs_GroceryStory_7_1Yes_6_Player",62913527827,"""Elle n’a pas dit ça"""
"Dialogs_GroceryStory_7_1Yes_7_Mia",62913527828,"Ouais... Alors tu ne le fais pas"
"Dialogs_GroceryStory_7_1Yes_8_Player",62913527829,"Ok..."
"Dialogs_GroceryStory_7_1Yes_9_Mia",62913527830,"Donc"
"Dialogs_GroceryStory_7_1Yes_10_Mia",62913527831,"Maintenant, tu peux faire un quart de travail supplémentaire si tu veux"
"Dialogs_GroceryStory_7_1Yes_11_Mia",62913527832,"Ou pas"
"Dialogs_GroceryStory_7_1Yes_12_Player",62913527833,"Ce sont... des horaires très flexibles"
"Dialogs_GroceryStory_7_1Yes_13_Mia",62913527834,"Ouais"
"Dialogs_GroceryStory_7_1Yes_14_Mia",62913527835,"A plus"
"Dialogs_GroceryStory_7_2WorkDone_0_Player",62913527836,"Sympa"
"Dialogs_GroceryStory_7_2WorkDone_1_Player",62913527837,"Allons voir Mia"
"Dialogs_GroceryStory_7_3FoundMia_0_Mia",62913527838,"Bonjour"
"Dialogs_GroceryStory_7_3FoundMia_1_Mia",62913527839,"Tu cherches quelque chose?"
"Dialogs_GroceryStory_7_4FoundMiaCont_0_Player",62913527840,"Pas vraiment... Je viens juste de finir mon service"
"Dialogs_GroceryStory_7_4FoundMiaCont_1_Player",62913527841,"Pas grand-chose à faire en ce moment"
"Dialogs_GroceryStory_7_4FoundMiaCont_2_Player",62913527842,"Je vois que tu manges Je ne vais pas te déranger alors"
"Dialogs_GroceryStory_7_4FoundMiaCont_3_Mia",62913527843,"Oh"
"Dialogs_GroceryStory_7_4FoundMiaCont_4_Mia",62913527844,"C’est encore trop chaud pour manger"
"Dialogs_GroceryStory_7_4FoundMiaCont_5_Mia",62913527845,"Je laisse refroidir un peu"
"Dialogs_GroceryStory_7_5WhatIsThis_0_Player",62913527846,"Qu’est-ce que c’est"
"Dialogs_GroceryStory_7_5WhatIsThis_1_Mia",62913527847,"C’est des ramen BigDak"
"Dialogs_GroceryStory_7_5WhatIsThis_2_Mia",62913527848,"Tu n’en as jamais entendu parler?"
"Dialogs_GroceryStory_7_5WhatIsThis_3_Player",62913527849,"Non..."
"Dialogs_GroceryStory_7_5WhatIsThis_4_Mia",62913527850,"C’est juste des nouilles instantanées"
"Dialogs_GroceryStory_7_5WhatIsThis_5_Mia",62913527851,"C’est super populaire en ce moment et ça a un goût fantastique"
"Dialogs_GroceryStory_7_6Unhealthy_0_Player",62913527852,"Ca a l’air un peu mauvais pour la santé"
"Dialogs_GroceryStory_7_6Unhealthy_1_Mia",62913527853,"C’est parce que ça l’est totalement"
"Dialogs_GroceryStory_7_6Unhealthy_2_Mia",62913527854,"Mais ça a juste un goût divin"
"Dialogs_GroceryStory_7_6Unhealthy_3_Mia",62913527855,"Et pour être honnête"
"Dialogs_GroceryStory_7_6Unhealthy_4_Mia",62913527856,"Alors"
"Dialogs_GroceryStory_7_7Tasty_0_Player",62913527857,"Ça a l’air bon"
"Dialogs_GroceryStory_7_7Tasty_1_Mia",62913527858,"Ça l’est"
"Dialogs_GroceryStory_7_7Tasty_2_Mia",62913527859,"Et c’est super rapide à préparer"
"Dialogs_GroceryStory_7_7Tasty_3_Mia",62913527860,"D'une pierre deux coups pour moi"
"Dialogs_GroceryStory_7_7Tasty_4_Mia",62913527861,"Ça me fait gagner du temps et c’est divin"
"Dialogs_GroceryStory_7_7Tasty_5_Mia",62913527862,"Tu devrais essayer"
"Dialogs_GroceryStory_7_7Tasty_6_Mia",62913527863,"On va juste devoir attendre que les ramen refroidissent un peu"
"Dialogs_GroceryStory_7_8Continue_0_Mia",62913527864,"Au fait"
"Dialogs_GroceryStory_7_8Continue_1_Mia",62913527865,"Je ne me souviens pas t’avoir vu manger pendant ta pause déjeuner"
"Dialogs_GroceryStory_7_8Continue_2_Mia",62913527866,"Comment ça se fait?"
"Dialogs_GroceryStory_7_8_1DontEat_0_Player",62913527867,"Je n’ai généralement pas faim pendant le déjeuner"
"Dialogs_GroceryStory_7_8_1DontEat_1_Player",62913527868,"Je le saute depuis que je suis gamin"
"Dialogs_GroceryStory_7_8_1DontEat_2_Mia",62913527869,"Oh…"
"Dialogs_GroceryStory_7_8_2DontLikeEating_0_Player",62913527870,"Je n’aime pas manger"
"Dialogs_GroceryStory_7_8_2DontLikeEating_1_Mia",62913527871,"<shake>Ah-ah-ah</shake>"
"Dialogs_GroceryStory_7_8_2DontLikeEating_2_Mia",62913527872,"C’est drôle"
"Dialogs_GroceryStory_8_MiaInvite_0_Mia",62913527873,"Je pensais…"
"Dialogs_GroceryStory_8_MiaInvite_1_Mia",62913527874,"Puisque nous travaillons ensemble depuis quelques jours maintenant…"
"Dialogs_GroceryStory_8_MiaInvite_2_Mia",62913527875,"Et que tu as toujours sauté ta pause déjeuner…"
"Dialogs_GroceryStory_8_MiaInvite_3_Mia",62913527876,"Peut-être qu’on pourrait déjeuner ensemble…"
"Dialogs_GroceryStory_8_MiaInvite_4_Mia",62913527877,"Pour renforcer l’esprit d’équipe"
"Dialogs_GroceryStory_8_MiaInvite_5_Mia",62913527878,"Puisque nous avons à peine interagi au travail"
"Dialogs_GroceryStory_8_1Date_0_Player",62913527879,"Tu m’invites à un rendez-vous?"
"Dialogs_GroceryStory_8_1Date_1_Mia",62913527880,"<shake>Eeeehhhh?</shake>"
"Dialogs_GroceryStory_8_1Date_2_Mia",62913527881,"<shake>N…. NON…. </shake>"
"Dialogs_GroceryStory_8_1Date_3_Mia",62913527882,"Je l’ai déjà dit"
"Dialogs_GroceryStory_8_1_1Yes_0_Player",62913527883,"Oui"
"Dialogs_GroceryStory_8_1_1Yes_1_Mia",62913527884,"<shake>Yaaay</shake>"
"Dialogs_GroceryStory_8_1_1Yes_2_Player",62913527885,"Où voudrais-tu aller?"
"Dialogs_GroceryStory_8_1_1Yes_3_Player",62913527886,"Je pourrais t’emmener quelque part"
"Dialogs_GroceryStory_8_1_1Yes_4_Player",62913527887,"Je ne connais pas vraiment beaucoup d’endroits ici…"
"Dialogs_GroceryStory_8_2Nice_0_Player",62913527888,"Ça a l’air d’être une bonne idée"
"Dialogs_GroceryStory_8_2Nice_1_Player",62913527889,"Où voudrais-tu aller?"
"Dialogs_GroceryStory_9_BarInvite_0_Mia",62913527890,"Oh"
"Dialogs_GroceryStory_9_BarInvite_1_Mia",62913527891,"Laisse-moi réfléchir"
"Dialogs_GroceryStory_9_BarInvite_2_Mia",62913527892,".  .  ."
"Dialogs_GroceryStory_9_BarInvite_3_Mia",62913527893,"Je connais un endroit"
"Dialogs_GroceryStory_9_BarInvite_4_Mia",62913527894,"C’est un de mes préférés"
"Dialogs_GroceryStory_9_BarInvite_5_Mia",62913527895,"Mais c'est pas vraiment un endroit pour déjeuner"
"Dialogs_GroceryStory_9_BarInvite_6_Mia",62913527896,"Quand même"
"Dialogs_GroceryStory_9_BarInvite_7_Mia",62913527897,"Retrouvons-nous au magasin cet après-midi"
"Dialogs_GroceryStory_9_BarInvite_8_Mia",62913527898,"Je te montrerai l’endroit"
"Dialogs_GroceryStory_9_1Ok_0_Player",62913527899,"Ok"
"Dialogs_GroceryStory_10_Date_0_Mia",62913527900,"Tu es prêt?"
"Dialogs_GroceryStory_11_Yes_0_Player",62913527901,"Oui!"
"Dialogs_GroceryStory_11_Yes_1_Mia",62913527902,"Suis-moi alors"
"Dialogs_GroceryStory_11_Yes_2_Player",62913527903,"Où on va?"
"Dialogs_GroceryStory_11_Yes_3_Mia",62913527904,"Tu verras"
"Dialogs_GroceryStory_FoundMia_0_Mia",62913527905,"Ne fais pas attention à moi"
"Dialogs_GroceryStory_FoundMia_1_Mia",62913527906,"Je regarde juste les produits"
"Dialogs_GroceryStory_FoundMia_2_Mia",62913527907,"Pour m’assurer que tout est à sa place"
"Dialogs_GroceryStory_FoundMia_3_Player",62913527908,"""Je suppose que je ferais mieux de ne pas la déranger"""
"Dialogs_GroceryStory_MiaStoringRoom_1_AreYouSerious_0_Player",62913527909,"Tu es sérieux? Tu m’as emmené au <shake>MAGASIN</shake>?"
"Dialogs_GroceryStory_MiaStoringRoom_2_Shh_0_Mia",62913527910,"Chhh~"
"Dialogs_GroceryStory_MiaStoringRoom_3_WannaEat_0_Mia",62913527911,"Alors tu veux essayer ces ramen?"
"Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_0_Player",62917722112,"Oui"
"Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_1_Mia",62917722113,"Bien sûr"
"Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_2_Mia",62917722114,"Approche-toi alors"
"Dialogs_GroceryStory_MiaStoringRoom_3_2No_0_Player",62917722115,"Non"
"Dialogs_GroceryStory_MiaStoringRoom_3_2No_1_Mia",62917722116,"Hmm…"
"Dialogs_GroceryStory_MiaStoringRoom_3_2No_2_Mia",62917722117,"Alors à plus tard"
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_0_Mia",62917722118,"Alors?"
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_1_Mia",62917722119,"Qu’en dis-tu?"
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_2_Player",62917722120,"""Le goût est… bien"
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_3_Player",62917722121,"""Mais ma langue brûle"""
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_0_Player",62917722122,"C’est trop épicé"
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_1_Mia",62917722123,"Tu veux du lait?"
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_2_Player",62917722124,"Non… ça va"
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_3_Mia",62917722125,"D’accord…"
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_4_Mia",62917722126,"Alors à plus tard"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_0_Player",62917722127,"Waouh... c'est vraiment bon!"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_1_Player",62917722128,"J'adore!"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_2_Mia",62917722129,"Tu vois?"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_3_Mia",62917722130,"Je te l'avais dit"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_4_Mia",62917722131,"Maintenant tu sais que j’ai bon goût"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_5_Mia",62917722132,"La prochaine fois, ça ne sera pas gratuit"
"Dialogs_GroceryStory_MiaStoringRoom_CloseTheDoor_0_Mia",62917722133,"Et ferme la porte"
"Dialogs_GroceryStory_MiaStoringRoom_MiaCrazy_0_Mia",62917722134,"<shake>Ehhhh!?</shake>"
"Dialogs_GroceryStory_MiaStoringRoom_MiaCrazy_1_Mia",62917722135,"Tu étais en train de mater sous ma jupe?"
"Dialogs_GroceryStory_MiaStoringRoom_MiaNoticesPlazer_0_Mia",62917722136,"Hm?"
"Dialogs_GroceryStory_MiaStoringRoom_No_0_Player",62917722137,"Non"
"Dialogs_GroceryStory_MiaStoringRoom_No_1_Player",62917722138,"Je cherchais... ma boîte à déjeuner"
"Dialogs_GroceryStory_MiaStoringRoom_No_2_Player",62917722139,"Je l’ai laissée ici quelque part"
"Dialogs_GroceryStory_MiaStoringRoom_No_3_Mia",62917722140,"Bien sûr..."
"Dialogs_GroceryStory_MiaStoringRoom_No_4_Mia",62917722141,"Va...<?emotion=15> faire quelque chose..."
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_0_Mia",62917722142,"Salut"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_1_Mia",62917722143,"Il ne se passe pas grand-chose"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_2_Player",62917722144,"Ouais"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_3_Player",62917722145,"Qu’est-ce que tu fais ici?"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_4_Mia",62917722146,"Je suis juste assis"
"Dialogs_GroceryStory_MiaStoringRoom_Sorry_0_Player",62917722147,"Je suis désolé"
"Dialogs_GroceryStory_MiaStoringRoom_Sorry_1_Mia",62917722148,".  .  ."
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_0_Player",62917722149,"Je ne pense pas avoir bien compris"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_1_Player",62917722150,"Tu peux répéter, s’il te plaît?"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_2_Mia",62917722151,"Bien sûr!"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_3_Mia",62917722152,"Pour faire court"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_4_Mia",62917722153,"Les horaires sont du matin jusqu’à midi"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_5_Mia",62917722154,"Puis de midi à l’après-midi"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_6_Mia",62917722155,"Et pour finir"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_7_Mia",62917722156,"C’est plus clair maintenant?"
"Dialogs_GroceryStory_RepeatWorkingHours_GiveItem_0_Mia",62917722157,"Ici"
"Dialogs_GroceryStory_RepeatWorkingHours_GiveItem_1_Mia",62917722158,"Prends-le"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_0_Player",62917722159,"Désolé… tu peux répéter encore une fois?"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_1_Mia",62917722160,"Ok haha"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_2_Mia",62917722161,"Je vais faire encore plus simple cette fois"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_3_Mia",62917722162,"Les horaires sont:"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_4_Mia",62917722163,"Matin jusqu’à midi"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_5_Mia",62917722164,"Midi jusqu’à l’après-midi"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_6_Mia",62917722165,"Et après-midi jusqu’au soir"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_7_Mia",62917722166,"C’est bon?"
"Dialogs_GroceryStory_RepeatWorkingHours_ShiftScedule_0_Story_0",62917722167,"""L'horaire: matin-midi"
"Dialogs_GroceryStory_RepeatWorkingHours_ShiftScedule_1_Story_0",62917722168,"""Type d'horaire: horaires flexibles"""
"Dialogs_GroceryStory_RepeatWorkingHours_ThirdRepeat_0_Player",62917722169,"Non..."
"Dialogs_GroceryStory_RepeatWorkingHours_ThirdRepeat_1_Mia",62917722170,".  .  ."
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_0_Player",62917722171,"Qu'est-ce que c'est?"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_1_Mia",62917722172,"C'est un document spécial destiné aux personnes qui ont des difficultés à comprendre"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_2_Mia",62917722173,"Assure-toi de le consulter plusieurs fois par jour"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_3_Mia",62917722174,"Ça t'aidera à mieux mémoriser le contenu"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_4_Mia",62917722175,"Maintenant"
"Dialogs_GroceryStory_RepeatWorkingHours_WhenRead_0_Player",62917722176,"""On dirait que j'en ai finis pour la journée…sauf si je veux faire quelque heures supplémentaires"""
"Dialogs_GroceryStory_WhereIsMia_0_Player",62917722177,"""Ouuuf...c'était une bonne journée de travail"""
"Dialogs_GroceryStory_WhereIsMia_1_Player",62917722178,"""Allons chercher Mia"""
"Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_0_Sarah",62917722179,"Ok..."
"Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_1_Sarah",62917722180,"On dirait qu’il n’y a personne dans les parages"
"Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_2_Sarah",62917722181,"Sors-le"
"Dialogs_HScene_Grocery_Sarah_HJCar_3_LetMeGetComfortbl_0_Sarah",62917722182,"Laisse-moi me mettre plus à l'aise"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_0_Sarah",62917722183,"Tu aimes ça?"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_1_Player",62917722184,"O...ouais"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_2_Player",62917722185,"S..s...sarah, Je suis sur le point de..."
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_3_Sarah",62917722186,"Vas-y, chéri"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_4_Player",62917722187,"Ahh~"
"Dialogs_HScene_Grocery_Sarah_HJCar_5_HjEnd_0_Sarah",62917722188,"Dépêchons-nous d’aller à l’épicerie maintenant."
"Dialogs_HScene_Grocery_Sarah_HJCar_5_HjEnd_1_Sarah",62917722189,"Avant que quelqu’un ne commence à se demander pourquoi ça prend autant de temps"
"Dialogs_HScene_Gym_Stretch1_1_AreYouReady_0_Player",62917722190,"""Ok... commençons"""
"Dialogs_HScene_Gym_Stretch1_1_AreYouReady_1_Lucy",62917722191,"Mhm"
"Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_0_Lucy",62917722192,"Qu'est-ce que tu...?"
"Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_1_Player",62917722193,"Relaxe... c'est juste un massage pour détendre tes muscles"
"Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_2_Lucy",62917722194,"O..ok"
