Key,Id,English(en)
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_4_Mia",62917722126,"See you later then"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_0_Player",62917722127,"Wow... it tastes really good!"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_1_Player",62917722128,"I love it!"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_2_Mia",62917722129,"See?"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_3_Mia",62917722130,"I told you"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_4_Mia",62917722131,"Now you know I’ve got excellent taste"
"Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_5_Mia",62917722132,"The next try isn’t free"
"Dialogs_GroceryStory_MiaStoringRoom_CloseTheDoor_0_Mia",62917722133,"And close the door"
"Dialogs_GroceryStory_MiaStoringRoom_MiaCrazy_0_Mia",62917722134,"<shake>Ehhhh!?</shake>"
"Dialogs_GroceryStory_MiaStoringRoom_MiaCrazy_1_Mia",62917722135,"Were you peeping under my skirt?"
"Dialogs_GroceryStory_MiaStoringRoom_MiaNoticesPlazer_0_Mia",62917722136,"Hm?"
"Dialogs_GroceryStory_MiaStoringRoom_No_0_Player",62917722137,"No"
"Dialogs_GroceryStory_MiaStoringRoom_No_1_Player",62917722138,"I was looking for... for my lunchbox"
"Dialogs_GroceryStory_MiaStoringRoom_No_2_Player",62917722139,"I left it here somewhere"
"Dialogs_GroceryStory_MiaStoringRoom_No_3_Mia",62917722140,"Of course you did"
"Dialogs_GroceryStory_MiaStoringRoom_No_4_Mia",62917722141,"Go...and... <?emotion=15> do something"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_0_Mia",62917722142,"Hello"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_1_Mia",62917722143,"Not so much going on, right?"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_2_Player",62917722144,"Yeah, barely any customers today"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_3_Player",62917722145,"What are you doing here?"
"Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_4_Mia",62917722146,"Just sitting"
"Dialogs_GroceryStory_MiaStoringRoom_Sorry_0_Player",62917722147,"I'm sorry, I didn't mean to"
"Dialogs_GroceryStory_MiaStoringRoom_Sorry_1_Mia",62917722148,".  .  ."
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_0_Player",62917722149,"I don't think I understood it correctly"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_1_Player",62917722150,"Could you repeat please?"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_2_Mia",62917722151,"Of course!"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_3_Mia",62917722152,"To keep it short"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_4_Mia",62917722153,"Shifts run from morning until noon, and then there’s a lunch break"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_5_Mia",62917722154,"Then from noon until the afternoon"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_6_Mia",62917722155,"And finally, from the afternoon until evening"
"Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_7_Mia",62917722156,"Is it clear now?"
"Dialogs_GroceryStory_RepeatWorkingHours_GiveItem_0_Mia",62917722157,"Here"
"Dialogs_GroceryStory_RepeatWorkingHours_GiveItem_1_Mia",62917722158,"Take it"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_0_Player",62917722159,"I'm sorry... could you repeat again?"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_1_Mia",62917722160,"Ok haha"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_2_Mia",62917722161,"I'll keep it even simpler this time"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_3_Mia",62917722162,"The shifts are:"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_4_Mia",62917722163,"Morning till noon"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_5_Mia",62917722164,"Noon till afternoon"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_6_Mia",62917722165,"and afternoon till evening"
"Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_7_Mia",62917722166,"Got it?"
"Dialogs_GroceryStory_RepeatWorkingHours_ShiftScedule_0_Story_0",62917722167,"""The schedule: morning–noon, noon–afternoon, and afternoon–evening. No work during evening or night hours"""
"Dialogs_GroceryStory_RepeatWorkingHours_ShiftScedule_1_Story_0",62917722168,"""Type of schedule: Flexible hours"""
"Dialogs_GroceryStory_RepeatWorkingHours_ThirdRepeat_0_Player",62917722169,"No..."
"Dialogs_GroceryStory_RepeatWorkingHours_ThirdRepeat_1_Mia",62917722170,".  .  ."
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_0_Player",62917722171,"What is it?"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_1_Mia",62917722172,"It's a special paper for people who find it difficult to understand"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_2_Mia",62917722173,"Make sure to take a look at it a few times a day"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_3_Mia",62917722174,"It'll help you remember the content better"
"Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_4_Mia",62917722175,"Now, excuse me"
"Dialogs_GroceryStory_RepeatWorkingHours_WhenRead_0_Player",62917722176,"""Looks like I’m done for the day… unless I want to pick up a few more shifts"""
"Dialogs_GroceryStory_WhereIsMia_0_Player",62917722177,"""Pheeew... that was a nice shift"""
"Dialogs_GroceryStory_WhereIsMia_1_Player",62917722178,"""Let's look for Mia, she's must be somewhere in the store"""
"Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_0_Sarah",62917722179,"Ok..."
"Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_1_Sarah",62917722180,"Looks like nobody’s around"
"Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_2_Sarah",62917722181,"Get it out"
"Dialogs_HScene_Grocery_Sarah_HJCar_3_LetMeGetComfortbl_0_Sarah",62917722182,"Let me get more comfortable"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_0_Sarah",62917722183,"You like it?"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_1_Player",62917722184,"Y...yeah"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_2_Player",62917722185,"S..s...sarah, I'm about to..."
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_3_Sarah",62917722186,"Go on, honey"
"Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_4_Player",62917722187,"Ahh~"
"Dialogs_HScene_Grocery_Sarah_HJCar_5_HjEnd_0_Sarah",62917722188,"Let's hurry up to the grocery store now"
"Dialogs_HScene_Grocery_Sarah_HJCar_5_HjEnd_1_Sarah",62917722189,"Before anyone starts wondering why it’s taking so long"
"Dialogs_HScene_Gym_Stretch1_1_AreYouReady_0_Player",62917722190,"Ok... let's start"
"Dialogs_HScene_Gym_Stretch1_1_AreYouReady_1_Lucy",62917722191,"Mhm"
"Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_0_Lucy",62917722192,"What are you...?"
"Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_1_Player",62917722193,"Relax... it's just a massage to help your muscle relax...."
"Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_2_Lucy",62917722194,"O.. ok"
"Dialogs_HScene_Gym_Stretch1_IShouldContinue_0_Player",62917722195,"I think I should stop here... it's too risky to continue"
"Dialogs_HScene_Gym_Stretch1_LucyEnough_0_Lucy",62917722196,"Ok, I think it's enough"
"Dialogs_HScene_Gym_Stretch2_HerHair_0_Player",62917722197,"""Her hair... smells so nice..."""
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_1_WowSoBug_0_Lucy",62917722198,"Wow"
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_1_WowSoBug_1_Lucy",62917722199,"Never thought you'll be hinding something THAT big down there"
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_1_2SecondTimeSeen_0_Player",62917722200,".  .  ."
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_3_LetMeHave_0_Lucy",62921916416,"Let me touch it"
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_4_WowItsEvenbigge_0_Lucy",62921916417,"It's even bigger than my head"
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_4_WowItsEvenbigge_1_Lucy",62921916418,"Do you like it?"
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_4_1Yeah_0_Player",62921916419,"Yeahh... agh~"
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_4_1Yeah_1_Lucy",62921916420,"It's so lovely to see you like that"
"Dialogs_HScene_Home_Lucy_RoomNight_HJ_4_2WonderfulHands_0_Player",62921916421,"You got wonderful hands..."
