Key,Id,Português Brasileiro(pt-br)
Dialogs_Generic_KnockGeneric_1_LastSpoken,62909333529,Entre!
Dialogs_Generic_LeavingBlocked_0_Player,62909333530,Provavelmente eu não deveria sair antes de terminar todas as minhas tarefas.
Dialogs_Generic_NotEnoughMoney_0_Player,62909333531,Não tenho dinheiro suficiente para isso.
Dialogs_Generic_Shower_0_Player,62909333532,"""Alguém está a tomar banho..."""
Dialogs_Generic_ToiletBesetzt_0_LastSpoken,62909333533,Ocupado!
Dialogs_Generic_WomanChanging_0_Player,62909333534,"""É o vestiário das mulheres... Provavelmente não devo entrar... pelo menos por enquanto."""
Dialogs_GroceryStory_1_ComeToStore_0_Player,62909333535,"""Tudo bem, aqui estou."""
Dialogs_GroceryStory_1_ComeToStore_1_Player,62909333536,"""A mulher ao telefone disse que avisaria alguém que eu viria"""
Dialogs_GroceryStory_1_ComeToStore_2_Mia,62909333537,@{player}!?
Dialogs_GroceryStory_1_ComeToStore_3_Mia,62909333538,"<shake>Olá!, @{player}!</shake>"
Dialogs_GroceryStory_1_ComeToStore_4_Player,62909333539,Oi...
Dialogs_GroceryStory_1_ComeToStore_5_Player,62909333540,"""Deve ser de quem a mulher ao telefone estava falando"""
Dialogs_GroceryStory_1_ComeToStore_6_Player,62909333541,"""Vamos falar com ela"""
Dialogs_GroceryStory_2_MiaTalk_0_Mia,62909333542,"Finalmente, uma alma viva!"
Dialogs_GroceryStory_2_MiaTalk_1_Mia,62909333543,Veio me visitar?
Dialogs_GroceryStory_2_2CameToWork_0_Player,62909333544,Eu vim... trabalhar...
Dialogs_GroceryStory_3_NoWay_0_Mia,62909333545,De jeito nenhum!
Dialogs_GroceryStory_3_NoWay_1_Mia,62909333546,Então era você!
Dialogs_GroceryStory_3_NoWay_2_Player,62909333547,Eu acho...
Dialogs_GroceryStory_3_NoWay_3_Mia,62909333548,Vamos trabalhar juntos...
Dialogs_GroceryStory_3_NoWay_4_Mia,62909333549,Isso é muuuito legal!
Dialogs_GroceryStory_3_NoWay_5_Player,62909333550,A mulher ao telefone disse que alguém estaria à minha espera.
Dialogs_GroceryStory_3_NoWay_6_Player,62909333551,Acho que ela falava de você
Dialogs_GroceryStory_3_NoWay_7_Mia,62909333552,Sim
Dialogs_GroceryStory_3_NoWay_8_Mia,62909333553,A Lea me ligou de manhã
Dialogs_GroceryStory_3_NoWay_9_Mia,62909333554,Disse que hoje viria um novo trabalhador.
Dialogs_GroceryStory_3_NoWay_10_Mia,62909333555,"E que eu deveria mostrar a ele—<?emotion=14>bem, quero dizer, a você—os arredores"
Dialogs_GroceryStory_3_NoWay_11_Player,62909333556,Lea... então é esse o nome dela.
Dialogs_GroceryStory_3_NoWay_12_Mia,62909333557,É… ela não falou quem é?
Dialogs_GroceryStory_3_NoWay_13_Player,62909333558,Não
Dialogs_GroceryStory_3_NoWay_14_Mia,62909333559,Isso é bem a cara dela
Dialogs_GroceryStory_3_NoWay_15_Mia,62909333560,"Quando me inscrevi no trabalho, ela nem perguntou meu nome"
Dialogs_GroceryStory_3_NoWay_16_Mia,62909333561,Mas o que for...
Dialogs_GroceryStory_3_NoWay_17_Mia,62909333562,Deixa quieto Lea...
Dialogs_GroceryStory_3_NoWay_18_Mia,62909333563,"Tecnicamente, sou sua chefe agora..."
Dialogs_GroceryStory_3_NoWay_19_Mia,62909333564,"Então venha aqui, seu turno já começou"
Dialogs_GroceryStory_4_ExplainHowToWork_0_Mia,62909333565,Então este é o seu espaço de trabalho
Dialogs_GroceryStory_4_ExplainHowToWork_1_Mia,62909333566,E isso...
Dialogs_GroceryStory_4_ExplainHowToWork_2_Mia,62909333567,E esta é a sua ferramenta de trabalho
Dialogs_GroceryStory_4_ExplainHowToWork_3_Mia,62909333568,É isso
Dialogs_GroceryStory_4_ExplainHowToWork_4_Player,62909333569,Isso é muita informação para absorver...
Dialogs_GroceryStory_4_ExplainHowToWork_5_Mia,62909333570,...
Dialogs_GroceryStory_4_ExplainHowToWork_6_Mia,62909333571,É basicamente isso.
Dialogs_GroceryStory_4_ExplainHowToWork_7_Mia,62909333572,Ah e aí...
Dialogs_GroceryStory_4_ExplainHowToWork_8_Mia,62909333573,Aí está a despensa
Dialogs_GroceryStory_4_ExplainHowToWork_9_Mia,62909333574,Sinta-se à vontade para relaxar lá durante o seu intervalo.
Dialogs_GroceryStory_4_ExplainHowToWork_10_Mia,62909333575,Faça uma refeição ou o que quiser fazer em seu tempo livre...
Dialogs_GroceryStory_5_StartWork_0_Player,62909333576,Entendi!
Dialogs_GroceryStory_5_StartWork_1_Mia,62909333577,Tudo bem!
Dialogs_GroceryStory_5_StartWork_2_Mia,62909333578,Vamos trabalhar então!
Dialogs_GroceryStory_6_JobFinished_0_Mia,62909333579,Parabéns pelo seu primeiro turno
Dialogs_GroceryStory_6_JobFinished_1_Mia,62913527808,Você se saiu super bem!
Dialogs_GroceryStory_7_ThankYou_0_Player,62913527809,Obrigado
Dialogs_GroceryStory_7_ThankYou_1_Mia,62913527810,De nada.
Dialogs_GroceryStory_7_ThankYou_2_Player,62913527811,Mas como o turno já terminou tão rápido?
Dialogs_GroceryStory_7_ThankYou_3_Player,62913527812,Uma turno não tem 8 horas de duração?
Dialogs_GroceryStory_7_ThankYou_4_Mia,62913527813,Quem te disse isso?
Dialogs_GroceryStory_7_ThankYou_5_Mia,62913527814,Bem... Não importa quem te disse isso.
Dialogs_GroceryStory_7_ThankYou_6_Mia,62913527815,Essa pessoa está errada
Dialogs_GroceryStory_7_ThankYou_7_Mia,62913527816,"Em nossa loja, o turno é apenas metade do tempo que você mencionou"
Dialogs_GroceryStory_7_ThankYou_8_Mia,62913527817,"Basicamente, significa que o turno vai da manhã até o meio dia"
Dialogs_GroceryStory_7_ThankYou_9_Mia,62913527818,Então vem o intervalo de almoço
Dialogs_GroceryStory_7_ThankYou_10_Mia,62913527819,"Depois segue como antes, até a noite"
Dialogs_GroceryStory_7_ThankYou_11_Mia,62913527820,Entendido?
Dialogs_GroceryStory_7_1Yes_0_Player,62913527821,Sim...
Dialogs_GroceryStory_7_1Yes_1_Mia,62913527822,Ebaaa!
Dialogs_GroceryStory_7_1Yes_2_Mia,62913527823,Ah... e não se esqueça
Dialogs_GroceryStory_7_1Yes_3_Mia,62913527824,Você não trabalha no período da tarde/noite nem de madrugada
Dialogs_GroceryStory_7_1Yes_4_Mia,62913527825,Se ao menos a Lea não tivesse dito que você deveria
Dialogs_GroceryStory_7_1Yes_5_Mia,62913527826,Mas eu imagino que ela não
Dialogs_GroceryStory_7_1Yes_6_Player,62913527827,"Não, ela não fez."
Dialogs_GroceryStory_7_1Yes_7_Mia,62913527828,É... então você não trabalha.
Dialogs_GroceryStory_7_1Yes_8_Player,62913527829,Ok...
Dialogs_GroceryStory_7_1Yes_9_Mia,62913527830,Então...
Dialogs_GroceryStory_7_1Yes_10_Mia,62913527831,Agora você pode trabalhar mais uma turno se quiser
Dialogs_GroceryStory_7_1Yes_11_Mia,62913527832,"Ou não, se você não quiser"
Dialogs_GroceryStory_7_1Yes_12_Player,62913527833,São... horas super flexíveis.
Dialogs_GroceryStory_7_1Yes_13_Mia,62913527834,"Sim, é verdade"
Dialogs_GroceryStory_7_1Yes_14_Mia,62913527835,Até mais
Dialogs_GroceryStory_7_2WorkDone_0_Player,62913527836,"Bom, um turno está feito"
Dialogs_GroceryStory_7_2WorkDone_1_Player,62913527837,Vamos procurar por mia
Dialogs_GroceryStory_7_3FoundMia_0_Mia,62913527838,Olá
Dialogs_GroceryStory_7_3FoundMia_1_Mia,62913527839,Procurando algo?
Dialogs_GroceryStory_7_4FoundMiaCont_0_Player,62913527840,Na verdade... Acabei de terminar meu turno
Dialogs_GroceryStory_7_4FoundMiaCont_1_Player,62913527841,Não tenho nada para fazer agora
Dialogs_GroceryStory_7_4FoundMiaCont_2_Player,62913527842,Vejo que você está comendo. Eu não vou te incomodar então
Dialogs_GroceryStory_7_4FoundMiaCont_3_Mia,62913527843,"Oh, não se preocupe com isso"
Dialogs_GroceryStory_7_4FoundMiaCont_4_Mia,62913527844,Ainda está muito quente para comer
Dialogs_GroceryStory_7_4FoundMiaCont_5_Mia,62913527845,Vou deixar esfriar um pouco
Dialogs_GroceryStory_7_5WhatIsThis_0_Player,62913527846,"O que é, que você está comendo?"
Dialogs_GroceryStory_7_5WhatIsThis_1_Mia,62913527847,É miojo BigDak
Dialogs_GroceryStory_7_5WhatIsThis_2_Mia,62913527848,Você não conhece?
Dialogs_GroceryStory_7_5WhatIsThis_3_Player,62913527849,Não...
Dialogs_GroceryStory_7_5WhatIsThis_4_Mia,62913527850,É apenas macarrão instantâneo
Dialogs_GroceryStory_7_5WhatIsThis_5_Mia,62913527851,É super popular agora e tem um gosto fantástico
Dialogs_GroceryStory_7_6Unhealthy_0_Player,62913527852,Não parece muito saudável
Dialogs_GroceryStory_7_6Unhealthy_1_Mia,62913527853,É porque de fato é
Dialogs_GroceryStory_7_6Unhealthy_2_Mia,62913527854,Mas tem um gosto celestial
Dialogs_GroceryStory_7_6Unhealthy_3_Mia,62913527855,"E pra ser justa, eu não curto muito cozinhar"
Dialogs_GroceryStory_7_6Unhealthy_4_Mia,62913527856,"Então, isso me economiza muito tempo"
Dialogs_GroceryStory_7_7Tasty_0_Player,62913527857,Parece saboroso
Dialogs_GroceryStory_7_7Tasty_1_Mia,62913527858,É
Dialogs_GroceryStory_7_7Tasty_2_Mia,62913527859,E é super rápido para se preparar também
Dialogs_GroceryStory_7_7Tasty_3_Mia,62913527860,Matei dois coelhos com uma cajadada só
Dialogs_GroceryStory_7_7Tasty_4_Mia,62913527861,Isso me economiza tempo e tem um sabor divino
Dialogs_GroceryStory_7_7Tasty_5_Mia,62913527862,Você deveria provar
Dialogs_GroceryStory_7_7Tasty_6_Mia,62913527863,Só precisamos esperar o miojo esfriar um pouco
Dialogs_GroceryStory_7_8Continue_0_Mia,62913527864,A propósito
Dialogs_GroceryStory_7_8Continue_1_Mia,62913527865,Não me lembro de te ver comer na hora do almoço.
Dialogs_GroceryStory_7_8Continue_2_Mia,62913527866,Por quê?
Dialogs_GroceryStory_7_8_1DontEat_0_Player,62913527867,Normalmente não sinto fome durante o almoço
Dialogs_GroceryStory_7_8_1DontEat_1_Player,62913527868,Eu tenho pulado desde que eu era criança
Dialogs_GroceryStory_7_8_1DontEat_2_Mia,62913527869,Ah...
Dialogs_GroceryStory_7_8_2DontLikeEating_0_Player,62913527870,Eu não gosto de comer
Dialogs_GroceryStory_7_8_2DontLikeEating_1_Mia,62913527871,<shake>Ha-ha-ha</shake>
Dialogs_GroceryStory_7_8_2DontLikeEating_2_Mia,62913527872,É engraçado
Dialogs_GroceryStory_8_MiaInvite_0_Mia,62913527873,Eu pensei...
Dialogs_GroceryStory_8_MiaInvite_1_Mia,62913527874,Já que estamos trabalhando juntos há alguns dias...
Dialogs_GroceryStory_8_MiaInvite_2_Mia,62913527875,E você sempre pulou sua pausa para o almoço...
Dialogs_GroceryStory_8_MiaInvite_3_Mia,62913527876,Talvez possamos almoçar juntos...
Dialogs_GroceryStory_8_MiaInvite_4_Mia,62913527877,"Para fins de construção de equipes, é claro"
Dialogs_GroceryStory_8_MiaInvite_5_Mia,62913527878,Já que mal interagimos no trabalho
Dialogs_GroceryStory_8_1Date_0_Player,62913527879,Você está me convidando para um encontro?
Dialogs_GroceryStory_8_1Date_1_Mia,62913527880,<shake>Eeeehhhh?</shake>
Dialogs_GroceryStory_8_1Date_2_Mia,62913527881,<shake>N.... NÃO....</shake>
Dialogs_GroceryStory_8_1Date_3_Mia,62913527882,"Eu já disse, é estritamente por um motivo profissional"
Dialogs_GroceryStory_8_1_1Yes_0_Player,62913527883,"Sim, isso parece legal"
Dialogs_GroceryStory_8_1_1Yes_1_Mia,62913527884,<shake>Yaaay</shake>
Dialogs_GroceryStory_8_1_1Yes_2_Player,62913527885,Para onde você gostaria de ir?
Dialogs_GroceryStory_8_1_1Yes_3_Player,62913527886,"Claro, eu poderia te levar a algum lugar, mas você sabe..."
Dialogs_GroceryStory_8_1_1Yes_4_Player,62913527887,Eu realmente não conheço muitos lugares aqui...
Dialogs_GroceryStory_8_2Nice_0_Player,62913527888,Parece uma boa ideia
Dialogs_GroceryStory_8_2Nice_1_Player,62913527889,Para onde você gostaria de ir?
Dialogs_GroceryStory_9_BarInvite_0_Mia,62913527890,"Oh, certo..."
Dialogs_GroceryStory_9_BarInvite_1_Mia,62913527891,Eu vou pensar
Dialogs_GroceryStory_9_BarInvite_2_Mia,62913527892," .  .  ."
Dialogs_GroceryStory_9_BarInvite_3_Mia,62913527893,Eu conheço um lugar
Dialogs_GroceryStory_9_BarInvite_4_Mia,62913527894,É um dos meus favoritos
Dialogs_GroceryStory_9_BarInvite_5_Mia,62913527895,Mas não é realmente um local de almoço
Dialogs_GroceryStory_9_BarInvite_6_Mia,62913527896,"Ainda assim, isso servirá aos nossos propósitos profissionais"
Dialogs_GroceryStory_9_BarInvite_7_Mia,62913527897,Vamos nos encontrar na loja à noite
Dialogs_GroceryStory_9_BarInvite_8_Mia,62913527898,Vou te mostrar o lugar
Dialogs_GroceryStory_9_1Ok_0_Player,62913527899,Ok
Dialogs_GroceryStory_10_Date_0_Mia,62913527900,Você está pronto?
Dialogs_GroceryStory_11_Yes_0_Player,62913527901,Sim!
Dialogs_GroceryStory_11_Yes_1_Mia,62913527902,"Siga-me, então"
Dialogs_GroceryStory_11_Yes_2_Player,62913527903,Para onde estamos indo?
Dialogs_GroceryStory_11_Yes_3_Mia,62913527904,Você verá
Dialogs_GroceryStory_FoundMia_0_Mia,62913527905,Não se preocupe comigo
Dialogs_GroceryStory_FoundMia_1_Mia,62913527906,Estou apenas passando pelos produtos
Dialogs_GroceryStory_FoundMia_2_Mia,62913527907,Certificando-se de que tudo esteja no lugar.
Dialogs_GroceryStory_FoundMia_3_Player,62913527908,"""Eu acho que é melhor não a distrair"""
Dialogs_GroceryStory_MiaStoringRoom_1_AreYouSerious_0_Player,62913527909,Tá brincando? Me levou para a <shake>LOJA</shake>?
Dialogs_GroceryStory_MiaStoringRoom_2_Shh_0_Mia,62913527910,Shhh ~
Dialogs_GroceryStory_MiaStoringRoom_3_WannaEat_0_Mia,62913527911,Então você quer experimentar esse miojo?
Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_0_Player,62917722112,Sim
Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_1_Mia,62917722113,Claro
Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_2_Mia,62917722114,Chegue mais perto então
Dialogs_GroceryStory_MiaStoringRoom_3_2No_0_Player,62917722115,"Não, obrigado"
Dialogs_GroceryStory_MiaStoringRoom_3_2No_1_Mia,62917722116,HM...
Dialogs_GroceryStory_MiaStoringRoom_3_2No_2_Mia,62917722117,"Até mais tarde, então."
Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_0_Mia,62917722118,E então?
Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_1_Mia,62917722119,"E aí, topa?"
Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_2_Player,62917722120,"""O sabor é... bem, curioso"""
Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_3_Player,62917722121,"""Mas minha língua queima como o inferno"""
Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_0_Player,62917722122,Está muito picante
Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_1_Mia,62917722123,Need some milk?
Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_2_Player,62917722124,No... I'm fine
Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_3_Mia,62917722125,Tudo bem...
Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_4_Mia,62917722126,"Até mais tarde, então."
Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_0_Player,62917722127,Uau… está realmente delicioso!
Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_1_Player,62917722128,Eu amo isso!
Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_2_Mia,62917722129,Viu?
Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_3_Mia,62917722130,Eu te disse
Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_4_Mia,62917722131,Agora você já sabe que meu gosto é impecável
Dialogs_GroceryStory_MiaStoringRoom_4_2LoveIt_5_Mia,62917722132,"Na próxima tentativa, vai custar"
Dialogs_GroceryStory_MiaStoringRoom_CloseTheDoor_0_Mia,62917722133,"E, por favor, feche a porta"
Dialogs_GroceryStory_MiaStoringRoom_MiaCrazy_0_Mia,62917722134,<shake>Ehhhh!?</shake>
Dialogs_GroceryStory_MiaStoringRoom_MiaCrazy_1_Mia,62917722135,Você estava espiando debaixo da minha saia?
Dialogs_GroceryStory_MiaStoringRoom_MiaNoticesPlazer_0_Mia,62917722136,Hm?
Dialogs_GroceryStory_MiaStoringRoom_No_0_Player,62917722137,Não
Dialogs_GroceryStory_MiaStoringRoom_No_1_Player,62917722138,Eu estava procurando... pela minha lancheira.
Dialogs_GroceryStory_MiaStoringRoom_No_2_Player,62917722139,Eu deixei aqui em algum lugar
Dialogs_GroceryStory_MiaStoringRoom_No_3_Mia,62917722140,É claro que você fez
Dialogs_GroceryStory_MiaStoringRoom_No_4_Mia,62917722141,Vá... e... <?emotion=15> faça alguma coisa.
Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_0_Mia,62917722142,Olá
Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_1_Mia,62917722143,"Não está rolando muita coisa, né?"
Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_2_Player,62917722144,"Sim, quase nenhum cliente hoje"
Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_3_Player,62917722145,O que você está fazendo aqui?
Dialogs_GroceryStory_MiaStoringRoom_NotMuchHappening_4_Mia,62917722146,Apenas sentado
Dialogs_GroceryStory_MiaStoringRoom_Sorry_0_Player,62917722147,"Me desculpe, eu não queria"
Dialogs_GroceryStory_MiaStoringRoom_Sorry_1_Mia,62917722148,.  .  .
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_0_Player,62917722149,Acho que não entendi direito
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_1_Player,62917722150,"Você poderia repetir, por favor?"
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_2_Mia,62917722151,Com certeza!
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_3_Mia,62917722152,Pra ser breve
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_4_Mia,62917722153,"Os turnos vão de manhã até o meio dia, e depois há uma pausa para o almoço"
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_5_Mia,62917722154,"Então, do meio-dia até a tarde."
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_6_Mia,62917722155,"E finalmente, da tarde até a noite"
Dialogs_GroceryStory_RepeatWorkingHours_FirstRepeat_7_Mia,62917722156,Está claro agora?
Dialogs_GroceryStory_RepeatWorkingHours_GiveItem_0_Mia,62917722157,Aqui
Dialogs_GroceryStory_RepeatWorkingHours_GiveItem_1_Mia,62917722158,Pegue
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_0_Player,62917722159,Desculpa... Você poderia repetir?
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_1_Mia,62917722160,Ok haha
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_2_Mia,62917722161,Agora vou simplificar ainda mais
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_3_Mia,62917722162,As mudanças são:
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_4_Mia,62917722163,Manhã até o meio dia
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_5_Mia,62917722164,Meio-dia até tarde
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_6_Mia,62917722165,e tarde até a noite
Dialogs_GroceryStory_RepeatWorkingHours_SecondRepeat_7_Mia,62917722166,Entendeu?
Dialogs_GroceryStory_RepeatWorkingHours_ShiftScedule_0_Story_0,62917722167,"O horário: manhã-meio-dia, meio-dia-tarde e tarde-noite. Não há trabalho durante a noite ou madrugada."
Dialogs_GroceryStory_RepeatWorkingHours_ShiftScedule_1_Story_0,62917722168,"""Tipo de cronograma: horário flexível"""
Dialogs_GroceryStory_RepeatWorkingHours_ThirdRepeat_0_Player,62917722169,Não...
Dialogs_GroceryStory_RepeatWorkingHours_ThirdRepeat_1_Mia,62917722170," .  .  ."
Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_0_Player,62917722171,O que seria?
Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_1_Mia,62917722172,É uma folha especial para quem tem dificuldade de compreender.
Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_2_Mia,62917722173,Certifique-se de dar uma olhada nisso algumas vezes por dia
Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_3_Mia,62917722174,Isso ajudará você a se lembrar melhor do conteúdo
Dialogs_GroceryStory_RepeatWorkingHours_WhatIsIt_4_Mia,62917722175,"Agora, com licença"
Dialogs_GroceryStory_RepeatWorkingHours_WhenRead_0_Player,62917722176,"""Parece que já terminei por hoje… a não ser que eu queira pegar mais alguns turnos."""
Dialogs_GroceryStory_WhereIsMia_0_Player,62917722177,Ufa… foi um bom turno.
Dialogs_GroceryStory_WhereIsMia_1_Player,62917722178,"""Vamos procurar Mia, ela deve estar em algum lugar da loja"""
Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_0_Sarah,62917722179,OK...
Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_1_Sarah,62917722180,Parece que ninguém está por perto
Dialogs_HScene_Grocery_Sarah_HJCar_1_AfterLookArnd_2_Sarah,62917722181,Tire isso
Dialogs_HScene_Grocery_Sarah_HJCar_3_LetMeGetComfortbl_0_Sarah,62917722182,Deixa eu ficar mais confortável
Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_0_Sarah,62917722183,Você gosta?
Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_1_Player,62917722184,S...sim
Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_2_Player,62917722185,"S..s...Sarah, estou prestes a..."
Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_3_Sarah,62917722186,"Continue, querida"
Dialogs_HScene_Grocery_Sarah_HJCar_4_YouLikeIt_4_Player,62917722187,Ahh ~
Dialogs_HScene_Grocery_Sarah_HJCar_5_HjEnd_0_Sarah,62917722188,Vamos logo para o supermercado
Dialogs_HScene_Grocery_Sarah_HJCar_5_HjEnd_1_Sarah,62917722189,Antes que alguém comece a se perguntar por que está demorando tanto tempo
Dialogs_HScene_Gym_Stretch1_1_AreYouReady_0_Player,62917722190,OK... Vamos começar
Dialogs_HScene_Gym_Stretch1_1_AreYouReady_1_Lucy,62917722191,Mhm
Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_0_Lucy,62917722192,O que você está...?
Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_1_Player,62917722193,Relaxar... É apenas uma massagem para ajudar seu músculo a relaxar....
Dialogs_HScene_Gym_Stretch1_2_StartAssMassage_2_Lucy,62917722194,O..OK
Dialogs_HScene_Gym_Stretch1_IShouldContinue_0_Player,62917722195,Acho que devo parar por aqui… é muito arriscado continuar.
Dialogs_HScene_Gym_Stretch1_LucyEnough_0_Lucy,62917722196,"Ok, acho que é o suficiente"
Dialogs_HScene_Gym_Stretch2_HerHair_0_Player,62917722197,"""O cabelo dela... cheira tão bem..."""
Dialogs_HScene_Home_Lucy_RoomNight_HJ_1_WowSoBug_0_Lucy,62917722198,Uau!
Dialogs_HScene_Home_Lucy_RoomNight_HJ_1_WowSoBug_1_Lucy,62917722199,Jamais imaginei que você tivesse algo TÃO grande aí embaixo.
Dialogs_HScene_Home_Lucy_RoomNight_HJ_1_2SecondTimeSeen_0_Player,62917722200,.  .  .
Dialogs_HScene_Home_Lucy_RoomNight_HJ_3_LetMeHave_0_Lucy,62921916416,Me deixa tocar
Dialogs_HScene_Home_Lucy_RoomNight_HJ_4_WowItsEvenbigge_0_Lucy,62921916417,É maior que minha cabeça
Dialogs_HScene_Home_Lucy_RoomNight_HJ_4_WowItsEvenbigge_1_Lucy,62921916418,Tá Curtindo?
